Time used gen_solv: 3e-06
Time used Special_solv: 2e-06
v:                 v_:
              0                   0
    0.084296833         0.084296833
     0.15971479          0.15971479
     0.22709086          0.22709086
     0.28718311          0.28718311
     0.34067817          0.34067817
     0.38819792          0.38819792
     0.43030564          0.43030564
      0.4675115           0.4675115
     0.50027757          0.50027757
     0.52902238          0.52902238
     0.55412501          0.55412501
     0.57592878          0.57592878
     0.59474466          0.59474466
     0.61085431          0.61085431
     0.62451285          0.62451285
     0.63595132          0.63595132
       0.645379            0.645379
     0.65298545          0.65298545
     0.65894234          0.65894234
     0.66340517          0.66340517
     0.66651478          0.66651478
     0.66839873          0.66839873
     0.66917257          0.66917257
     0.66894094          0.66894094
     0.66779861          0.66779861
     0.66583145          0.66583145
     0.66311719          0.66311719
     0.65972628          0.65972628
     0.65572248          0.65572248
     0.65116359          0.65116359
     0.64610192          0.64610192
     0.64058487          0.64058487
     0.63465537          0.63465537
     0.62835229          0.62835229
     0.62171086          0.62171086
     0.61476296          0.61476296
      0.6075375           0.6075375
     0.60006062          0.60006062
     0.59235604          0.59235604
     0.58444521          0.58444521
     0.57634759          0.57634759
     0.56808077          0.56808077
     0.55966071          0.55966071
     0.55110185          0.55110185
     0.54241728          0.54241728
     0.53361884          0.53361884
     0.52471728          0.52471728
     0.51572231          0.51572231
     0.50664273          0.50664273
     0.49748653          0.49748653
     0.48826093          0.48826093
     0.47897246          0.47897246
     0.46962706          0.46962706
     0.46023008          0.46023008
      0.4507864           0.4507864
     0.44130042          0.44130042
     0.43177612          0.43177612
     0.42221711          0.42221711
     0.41262668          0.41262668
     0.40300777          0.40300777
     0.39336307          0.39336307
     0.38369502          0.38369502
     0.37400582          0.37400582
     0.36429745          0.36429745
     0.35457174          0.35457174
      0.3448303           0.3448303
     0.33507463          0.33507463
     0.32530606          0.32530606
     0.31552582          0.31552582
     0.30573499          0.30573499
     0.29593459          0.29593459
     0.28612551          0.28612551
     0.27630857          0.27630857
     0.26648451          0.26648451
       0.256654            0.256654
     0.24681766          0.24681766
     0.23697602          0.23697602
      0.2271296           0.2271296
     0.21727883          0.21727883
     0.20742413          0.20742413
     0.19756588          0.19756588
      0.1877044           0.1877044
        0.17784             0.17784
     0.16797296          0.16797296
     0.15810352          0.15810352
     0.14823191          0.14823191
     0.13835833          0.13835833
     0.12848298          0.12848298
     0.11860601          0.11860601
     0.10872758          0.10872758
    0.098847835         0.098847835
    0.088966888         0.088966888
    0.079084856         0.079084856
    0.069201841         0.069201841
    0.059317936         0.059317936
    0.049433225         0.049433225
    0.039547784         0.039547784
    0.029661681         0.029661681
    0.019774979         0.019774979
   0.0098877354        0.0098877354
              0                   0
