Time used gen_solv: 0.000314
Time used Special_solv: 0.000193
v:                 v_:
              0                   0
  0.00089941474       0.00089941474
   0.0017978307        0.0017978307
   0.0026952488        0.0026952488
   0.0035916701        0.0035916701
   0.0044870957        0.0044870957
   0.0053815264        0.0053815264
   0.0062749633        0.0062749633
   0.0071674073        0.0071674073
   0.0080588596        0.0080588596
   0.0089493209        0.0089493209
   0.0098387925        0.0098387925
    0.010727275         0.010727275
     0.01161477          0.01161477
    0.012501278         0.012501278
      0.0133868           0.0133868
    0.014271337         0.014271337
     0.01515489          0.01515489
     0.01603746          0.01603746
    0.016919049         0.016919049
    0.017799656         0.017799656
    0.018679283         0.018679283
    0.019557931         0.019557931
    0.020435601         0.020435601
    0.021312295         0.021312295
    0.022188012         0.022188012
    0.023062753         0.023062753
    0.023936521         0.023936521
    0.024809316         0.024809316
    0.025681138         0.025681138
    0.026551989         0.026551989
     0.02742187          0.02742187
    0.028290782         0.028290782
    0.029158725         0.029158725
    0.030025701         0.030025701
    0.030891711         0.030891711
    0.031756755         0.031756755
    0.032620835         0.032620835
    0.033483951         0.033483951
    0.034346105         0.034346105
    0.035207297         0.035207297
    0.036067528         0.036067528
      0.0369268           0.0369268
    0.037785113         0.037785113
    0.038642469         0.038642469
    0.039498868         0.039498868
     0.04035431          0.04035431
    0.041208799         0.041208799
    0.042062333         0.042062333
    0.042914914         0.042914914
    0.043766543         0.043766543
    0.044617221         0.044617221
    0.045466949         0.045466949
    0.046315728         0.046315728
    0.047163559         0.047163559
    0.048010443         0.048010443
     0.04885638          0.04885638
    0.049701372         0.049701372
    0.050545419         0.050545419
    0.051388523         0.051388523
    0.052230684         0.052230684
    0.053071904         0.053071904
    0.053912183         0.053912183
    0.054751523         0.054751523
    0.055589924         0.055589924
    0.056427387         0.056427387
    0.057263913         0.057263913
    0.058099503         0.058099503
    0.058934158         0.058934158
    0.059767879         0.059767879
    0.060600667         0.060600667
    0.061432522         0.061432522
    0.062263447         0.062263447
    0.063093441         0.063093441
    0.063922505         0.063922505
    0.064750641         0.064750641
     0.06557785          0.06557785
    0.066404132         0.066404132
    0.067229488         0.067229488
    0.068053919         0.068053919
    0.068877427         0.068877427
    0.069700011         0.069700011
    0.070521674         0.070521674
    0.071342415         0.071342415
    0.072162237         0.072162237
    0.072981139         0.072981139
    0.073799122         0.073799122
    0.074616189         0.074616189
    0.075432338         0.075432338
    0.076247573         0.076247573
    0.077061892         0.077061892
    0.077875298         0.077875298
    0.078687791         0.078687791
    0.079499372         0.079499372
    0.080310042         0.080310042
    0.081119802         0.081119802
    0.081928652         0.081928652
    0.082736595         0.082736595
     0.08354363          0.08354363
    0.084349758         0.084349758
    0.085154981         0.085154981
    0.085959299         0.085959299
    0.086762714         0.086762714
    0.087565226         0.087565226
    0.088366835         0.088366835
    0.089167544         0.089167544
    0.089967353         0.089967353
    0.090766262         0.090766262
    0.091564273         0.091564273
    0.092361386         0.092361386
    0.093157603         0.093157603
    0.093952924         0.093952924
    0.094747351         0.094747351
    0.095540883         0.095540883
    0.096333523         0.096333523
     0.09712527          0.09712527
    0.097916126         0.097916126
    0.098706092         0.098706092
    0.099495169         0.099495169
